ID_Registro,Fecha_Medicion,Provincia,Tipo_Residuo,Toneladas
REG-1630,06/03/2026,Buenos Aires,Metales,1076.76
REG-1367,30/05/2025,Mendoza,Plásticos,4019.65
REG-1323,21/04/2024,Córdoba,Papel y Cartón,3784.26
REG-1911,30/01/2026,buenos aires,Papel y Cartón,1464.37
REG-1847,12/03/2024,Santa Fe,Orgánico,840.35
REG-1730,15/11/2025,Misiones,Orgánico,273.87
REG-1101,06/07/2024,Córdoba,Plásticos,2219.54
REG-1453,21/02/2026,Salta,Papel y Cartón,1709.0
REG-1589,23/02/2025,Chaco,Plásticos,618.93
REG-1712,27/02/2024,Buenos Aires,Plásticos,3622.19
REG-1270,14/12/2024,Chaco,Plásticos,2582.31
REG-1031,09/09/2024,Santa Fe,Papel y Cartón,1209.74
REG-1673,18/06/2024,Salta,Metales,3515.42
REG-1970,18/04/2025,Misiones,Plásticos,1891.05
REG-1237,19/07/2025,Mendoza,Plásticos,1505.8
REG-1109,09/12/2024,Misiones,Vidrio,2433.88
REG-1516,19/01/2026,Buenos Aires,Vidrio,1238.07
REG-1935,08/02/2025,Salta,Orgánico,2545.57
REG-1427,15/11/2025,Mendoza,Papel y Cartón,2998.18
REG-1307,20/10/2025,Tucumán,Vidrio,1104.07
REG-1428,20/01/2024,Córdoba,Orgánico,985.88
REG-2012,25/05/2024,Misiones,Plásticos,1877.2
REG-2017,03/02/2024,Tucumán,Vidrio,2006.02
REG-1616,18/08/2025,Misiones,Plásticos,1688.63
REG-1808,03/03/2024,Tucumán,Orgánico,894.32
REG-1697,25/02/2026,Santa Fe,Orgánico,4365.87
REG-1371,26/05/2025,Santa Fe,Plásticos,2549.88
REG-1601,05/04/2024,Salta,Orgánico,2032.8
REG-1334,02/08/2025,Mendoza,Orgánico,2119.87
REG-2048,25/10/2025,Chaco,Plásticos,342.45
REG-1954,16/04/2024,Tucumán,Vidrio,4117.33
REG-1458,22/02/2024,Chaco,Plásticos,2108.56
REG-1273,02/02/2026,Santa Fe,Papel y Cartón,1213.81
REG-1596,10/07/2024,Buenos Aires,Vidrio,820.3
REG-1475,29/04/2024,Misiones,Plásticos,3124.02
REG-1306,08/04/2024,Chaco,Plásticos,2843.07
REG-1545,01/12/2024,Córdoba,Orgánico,483.12
REG-1462,12/04/2024,Córdoba,Papel y Cartón,3560.48
REG-1352,17/08/2024,Tucumán,Orgánico,1038.35
REG-1862,04/02/2025,Misiones,Plásticos,350.86
REG-1629,30/03/2025,Chaco,Orgánico,1568.52
REG-1650,23/11/2025,Chaco,Plásticos,1677.29
REG-1059,11/12/2024,Tucumán,Vidrio,11482.05
REG-1192,17/04/2025,Mendoza,Papel y Cartón,3631.98
REG-1309,10/05/2024,Chaco,Plásticos,1697.1
REG-1981,03/01/2024,SANTA FE,Papel y Cartón,1541.5
REG-1409,30/09/2025,Misiones,Papel y Cartón,8680.46
REG-1435,22/05/2024,Buenos Aires,Vidrio,5427.81
REG-1976,27/10/2025,Misiones,Plásticos,2068.29
REG-1436,01/04/2024,Misiones,Orgánico,1658.49
REG-1023,17/02/2025,Córdoba ,Orgánico,1580.54
REG-1536,31/01/2026,Buenos Aires,Vidrio,3494.51
REG-1996,08/02/2024,mendoza,Papel y Cartón,1214.45
REG-2019,14/02/2026,Tucumán,Plásticos,630.9
REG-1289,24/10/2024,Misiones,Orgánico,1023.57
REG-1597,08/01/2026,Misiones,Papel y Cartón,6376.37
REG-1485,27/01/2025,Tucumán,Plásticos,2257.78
REG-1256,05/02/2026,Buenos Aires,Plásticos,1107.94
REG-1759,05/01/2026,Córdoba,Vidrio,1810.02
REG-1083,10/06/2024,Tucumán,Orgánico,1037.35
REG-1113,03/03/2024,Mendoza,Peligrosos,911.65
REG-1953,15/12/2024,Mendoza,Papel y Cartón,2124.54
REG-1198,09/10/2024,Misiones,Orgánico,792.66
REG-1809,04/08/2024,Salta,Plásticos,643.77
REG-1141,04/09/2025,Mendoza,Orgánico,726.15
REG-1209,07/11/2025,Mendoza,Plásticos,510.35
REG-1678,31/05/2025,Bs. As.,Vidrio,1279.05
REG-2038,03/10/2024,Buenos Aires,Plásticos,4067.32
REG-1542,30/05/2025,Misiones,Plásticos,2652.02
REG-1049,08/10/2025,Córdoba,Metales,1761.7
REG-1275,11/12/2024,Tucumán,Orgánico,1494.1
REG-1634,17/07/2025,Tucumán,Orgánico,1461.14
REG-1218,20/08/2024,Buenos Aires,Orgánico,585.5
REG-1864,05/02/2026,Chaco,Plásticos,1762.68
REG-1076,15/04/2024,Misiones,Papel y Cartón,1135.19
REG-1605,05/01/2026,Buenos Aires,Plásticos,3248.33
REG-1010,02/08/2024,Santa Fe,Orgánico,506.89
REG-1440,20/02/2024,Chaco,Papel y Cartón,4680.89
REG-1652,04/07/2024,Chaco,Orgánico,1799.28
REG-1902,12/02/2026,Chaco,Papel y Cartón,725.82
REG-1404,16/11/2025,Córdoba,Papel y Cartón,3886.22
REG-1457,20/09/2024,Tucumán,Plásticos,2972.65
REG-1940,11/12/2024,Misiones,Plásticos,955.65
REG-1915,08/01/2025,Salta,Plásticos,2490.28
REG-1693,11/05/2024,Mendoza,Vidrio,
REG-1789,24/01/2025,Buenos Aires,Vidrio,5124.09
REG-1913,01/07/2024,Chaco,Orgánico,5799.14
REG-1354,16/07/2025,Misiones,Orgánico,1470.26
REG-1977,09/06/2025,Santa Fe,Vidrio,163.8
REG-1947,05/09/2024,Córdoba,Orgánico,2153.54
REG-2010,20/08/2024,Buenos Aires,Orgánico,2781.08
REG-1798,05/01/2024,cordoba,Papel y Cartón,1583.48
REG-1178,12/11/2025,Mendoza,Vidrio,
REG-1076,15/04/2024,Misiones,Papel y Cartón,1135.19
REG-2005,30/07/2024,Mendoza,Orgánico,697.83
REG-1430,14/02/2026,Buenos Aires,Plásticos,4987.74
REG-1984,28/12/2024,Misiones,Papel y Cartón,3903.99
REG-1951,26/08/2024,cordoba,Orgánico,1320.65
REG-1568,29/08/2025,Buenos Aires,Orgánico,3616.66
REG-1617,29/12/2025,Chaco,Vidrio,5352.55
REG-1078,21/04/2025,Córdoba,Orgánico,338.85
REG-1946,04/03/2026,BUENOS AIRES ,Orgánico,3940.07
REG-1952,25/02/2024,Santa Fe,Orgánico,2759.14
REG-1405,02/03/2026,cordoba,Orgánico,6948.3
REG-1722,09/07/2024,Misiones,Orgánico,1867.85
REG-1523,04/07/2025,Tucumán,Plásticos,2149.39
REG-1243,09/05/2024,Buenos Aires,Papel y Cartón,4962.84
REG-1039,30/11/2025,Santa Fe,Plásticos,6182.1
REG-1030,22/01/2024,Salta,Peligrosos,4533.97
REG-1927,20/02/2024,Córdoba,Plásticos,3819.01
REG-1136,08/04/2024,Misiones,Papel y Cartón,1697.86
REG-1054,23/08/2025,Chaco,Plásticos,1444.98
REG-1932,26/08/2025,Chaco,Orgánico,5511.38
REG-1280,03/05/2025,Tucumán,Vidrio,1886.99
REG-1525,15/10/2024,Bs As,Metales,4448.34
REG-1964,19/12/2025,Salta,Papel y Cartón,1755.74
REG-1362,31/08/2025,Buenos Aires,Papel y Cartón,1592.98
REG-1708,14/10/2025,Chaco,Vidrio,876.92
REG-1003,16/04/2024,Salta,Plásticos,
REG-1499,07/07/2024,Tucumán,Orgánico,6214.64
REG-1518,22/07/2024,Tucumán,Plásticos,2923.69
REG-1423,11/02/2025,Santa Fe,Papel y Cartón,4501.11
REG-1792,09/12/2025,Buenos Aires,Plásticos,3431.74
REG-1814,14/04/2024,Mendoza,Vidrio,4526.92
REG-1319,25/02/2025,Tucumán,Plásticos,1074.74
REG-1689,25/05/2025,Mendoza,Orgánico,1796.73
REG-1058,15/02/2026,Salta,Papel y Cartón,833.32
REG-1063,01/01/2025,Córdoba,Orgánico,4266.98
REG-1244,22/02/2024,Buenos Aires,Papel y Cartón,5132.4
REG-1390,30/11/2025,Mendoza,Plásticos,3078.35
REG-1355,13/03/2025,Salta,Plásticos,2460.06
REG-1100,02/02/2026,Córdoba,Plásticos,4558.22
REG-1168,19/06/2024,Tucumán,Orgánico,979.47
REG-1528,22/12/2024,Córdoba,Plásticos,2838.95
REG-1346,14/04/2025,Misiones,Plásticos,4447.47
REG-1884,14/06/2024,buenos aires,Vidrio,4125.09
REG-1514,16/02/2024,Córdoba,Vidrio,5517.22
REG-1380,08/04/2024,Chaco,Plásticos,9142.26
REG-1761,23/12/2024,MENDOZA,Vidrio,1196.13
REG-1260,16/07/2024,Salta,Peligrosos,1522.83
REG-1210,12/08/2024,Salta,Plásticos,3192.18
REG-1231,21/03/2024,Misiones,Plásticos,2738.3
REG-1413,23/02/2026,Salta,Plásticos,960.14
REG-1762,11/02/2025,Santa Fe,Plásticos,2188.78
REG-1066,23/05/2025,Chaco,Orgánico,2559.58
REG-1296,25/07/2025,Chaco,Papel y Cartón,5952.65
REG-1067,14/02/2026,Misiones,Plásticos,3511.13
REG-1551,25/10/2025,Tucumán,Papel y Cartón,1107.31
REG-1012,03/04/2025,Salta,Vidrio,805.08
REG-1481,18/04/2025,Salta,Plásticos,1209.9
REG-1535,10/08/2024,Córdoba,Orgánico,4364.51
REG-1477,26/08/2025,Chaco,Papel y Cartón,906.92
REG-1670,22/06/2024,Mendoza,Vidrio,1335.97
REG-1811,19/11/2025,Salta,Vidrio,3538.31
REG-1736,21/07/2024,Misiones,Orgánico,1094.75
REG-1184,11/09/2025,Tucumán,Papel y Cartón,1318.43
REG-1333,09/06/2024,Tucumán,Orgánico,1965.23
REG-1908,12/02/2024,Mendoza,Papel y Cartón,4508.08
REG-1921,13/07/2024,Buenos Aires,Plásticos,1446.61
REG-1917,25/12/2024,cordoba,Plásticos,704.93
REG-1321,10/09/2024,Córdoba,Orgánico,3730.97
REG-1966,30/09/2025,Misiones,Orgánico,2901.33
REG-1220,22/04/2024,Chaco,Metales,2567.12
REG-1755,17/10/2025,santa fe,Plásticos,1840.06
REG-1711,29/09/2025,Córdoba,Metales,804.67
REG-1331,20/12/2025,Misiones,Plásticos,187.08
REG-1361,08/03/2026,Tucumán,Papel y Cartón,410.28
REG-1817,19/01/2025,Chaco,Vidrio,738.55
REG-1002,27/09/2024,Mendoza,Plásticos,1040.46
REG-1006,21/01/2024,Buenos Aires,Orgánico,4378.28
REG-1575,30/03/2024,Tucumán,Papel y Cartón,6307.07
REG-1821,09/12/2025,Misiones,Vidrio,1543.36
REG-1475,29/04/2024,Misiones,Plásticos,3124.02
REG-1905,23/07/2024,Mendoza,Orgánico,975.52
REG-1332,11/11/2025,Misiones,Vidrio,1548.31
REG-1529,23/01/2024,Tucumán,Plásticos,2324.32
REG-1866,25/07/2024,Salta,Plásticos,1543.49
REG-1215,02/11/2025,Misiones,Plásticos,1896.08
REG-1551,25/10/2025,Tucumán,Papel y Cartón,1107.31
REG-1522,06/12/2024,Salta,Plásticos,466.36
REG-1796,29/08/2024,Buenos Aires,Peligrosos,1859.38
REG-1328,03/12/2024,SANTA FE,Metales,4165.06
REG-1429,16/11/2024,Tucumán,Orgánico,2942.05
REG-1848,04/07/2025,Chaco,Orgánico,3940.42
REG-1467,17/10/2025,CORDOBA,Vidrio,1009.44
REG-1644,18/07/2025,Salta,Plásticos,3820.94
REG-1979,07/11/2024,Salta,Papel y Cartón,823.83
REG-1906,05/05/2024,Chaco,Orgánico,3256.22
REG-1604,08/07/2024,Buenos Aires,Plásticos,2837.27
REG-1760,22/02/2026,Salta,Peligrosos,1084.17
REG-1877,07/04/2024,Salta,Plásticos,949.95
REG-1726,26/04/2024,Tucumán,Orgánico,1635.02
REG-1265,19/07/2024,Chaco,Papel y Cartón,5328.37
REG-1688,18/10/2025,Tucumán,Papel y Cartón,2650.67
REG-1025,10/07/2024,Buenos Aires,Metales,3174.09
REG-1299,10/09/2024,Tucumán,Plásticos,942.11
REG-1294,11/12/2024,Santa Fe,Vidrio,1745.27
REG-1993,29/04/2025,Chaco,Metales,1330.83
REG-1365,28/03/2025,Buenos Aires,Orgánico,2456.54
REG-1106,15/01/2024,Buenos Aires,Plásticos,4118.61
REG-1618,07/12/2024,Córdoba,Peligrosos,2409.81
REG-1055,11/11/2024,Misiones,Vidrio,6351.86
REG-1675,05/03/2026,Mendoza,Orgánico,
REG-1213,25/10/2025,Tucumán,Papel y Cartón,4372.22
REG-1120,15/10/2024,Tucumán,Peligrosos,819.75
REG-1432,03/02/2025,Santa Fe,Plásticos,1218.25
REG-1745,16/02/2024,Sta Fe,Plásticos,1295.53
REG-1072,22/01/2025,Córdoba,Orgánico,1730.5
REG-1615,02/03/2024,Buenos Aires,Plásticos,1201.09
REG-2018,14/09/2025,Tucumán,Plásticos,5712.6
REG-1292,02/02/2026,Chaco,Vidrio,2416.64
REG-1764,07/01/2025,Córdoba,Peligrosos,4435.1
REG-1420,12/11/2025,Córdoba ,Plásticos,3521.83
REG-1613,08/03/2026,Salta,Plásticos,1376.14
REG-1298,30/10/2024,Salta,Orgánico,5544.68
REG-1342,01/10/2025,Mendoza,Papel y Cartón,760.07
REG-1758,25/11/2024,Santa Fe,Plásticos,1038.12
REG-1513,09/03/2024,Córdoba,Orgánico,2300.19
REG-1679,29/01/2024,Córdoba ,Orgánico,1618.21
REG-1377,15/02/2024,Salta,Vidrio,
REG-1494,13/07/2025,Misiones,Peligrosos,9207.36
REG-1411,04/05/2025,Chaco,Plásticos,966.82
REG-1060,18/07/2025,Misiones,Plásticos,375.77
REG-1448,23/07/2025,Santa Fe,Plásticos,2386.56
REG-1092,22/10/2024,Misiones,Vidrio,504.18
REG-1653,01/02/2025,Salta,Orgánico,2708.78
REG-1277,26/05/2024,Córdoba,Plásticos,1124.19
REG-1852,13/03/2025,Salta,Vidrio,3829.92
REG-2034,11/01/2025,Mendoza,Vidrio,700.01
REG-1570,09/09/2024,Sta Fe,Orgánico,1700.7
REG-1598,19/11/2025,Salta,Vidrio,2133.5
REG-1182,06/03/2026,Mendoza,Papel y Cartón,1609.99
REG-1532,27/01/2026,Santa Fe,Plásticos,1601.32
REG-1308,26/07/2024,Chaco,Plásticos,1471.34
REG-1110,08/05/2024,cordoba,Vidrio,617.65
REG-1566,31/01/2025,Mendoza,Plásticos,3551.16
REG-1790,16/08/2025,Santa Fe,Vidrio,2413.35
REG-1721,19/05/2025,Tucumán,Vidrio,4401.04
REG-1781,19/07/2024,Chaco,Metales,635.49
REG-1928,06/02/2025,Santa Fe,Plásticos,4225.39
REG-1657,11/06/2024,Córdoba,Vidrio,1245.61
REG-1261,25/05/2025,Córdoba,Orgánico,2768.75
REG-1336,03/10/2024,Chaco,Vidrio,1267.96
REG-1538,17/03/2025,Córdoba,Plásticos,2998.43
REG-1554,14/01/2025,Mendoza,Orgánico,1580.87
REG-1855,01/11/2024,Salta,Vidrio,3243.21
REG-1137,14/11/2025,Misiones,Peligrosos,520.03
REG-1584,17/09/2025,Buenos Aires,Plásticos,3975.1
REG-1352,17/08/2024,Tucumán,Orgánico,1038.35
REG-1879,30/11/2024,Tucumán,Plásticos,2602.71
REG-1486,02/10/2025,Buenos Aires,Papel y Cartón,1484.58
REG-1885,25/04/2025,Mendoza,Plásticos,2324.05
REG-2030,07/01/2026,Tucumán,Papel y Cartón,879.38
REG-1029,09/11/2024,Mendoza,Papel y Cartón,1316.65
REG-1165,18/08/2024,Chaco,Peligrosos,4078.48
REG-1248,10/12/2025,Tucumán,Vidrio,2455.27
REG-1381,14/01/2026,Misiones,Orgánico,1160.96
REG-1359,13/08/2024,Tucumán,Papel y Cartón,10073.81
REG-1327,01/06/2024,Chaco,Orgánico,575.36
REG-1851,04/11/2025,Salta,Papel y Cartón,1762.35
REG-1949,30/04/2024,Tucumán,Vidrio,2678.72
REG-1439,27/12/2025,Salta,Metales,4516.75
REG-1398,18/01/2024,mendoza,Orgánico,834.57
REG-1858,23/08/2024,Mendoza,Orgánico,379.79
REG-1704,08/02/2024,Tucumán,Papel y Cartón,
REG-1065,03/03/2025,Misiones,Plásticos,1777.93
REG-1965,29/10/2024,Mendoza,Plásticos,3430.94
REG-1967,25/02/2024,BUENOS AIRES ,Orgánico,4850.05
REG-1869,15/03/2024,Sta Fe,Plásticos,6932.32
REG-1254,02/05/2024,Chaco,Plásticos,322.66
REG-1783,05/04/2025,Tucumán,Plásticos,2054.12
REG-1312,23/02/2024,Tucumán,Plásticos,1596.47
REG-1593,06/11/2025,Santa Fe,Papel y Cartón,1249.83
REG-1221,11/05/2025,Buenos Aires,Plásticos,6822.35
REG-1235,03/10/2025,Buenos Aires,Vidrio,4728.64
REG-1424,08/06/2025,Mendoza,Plásticos,2532.65
REG-1590,29/12/2025,Buenos Aires,Metales,2023.68
REG-1305,20/08/2024,Chaco,Vidrio,3917.76
REG-1351,07/02/2024,Misiones,Peligrosos,624.41
REG-1636,01/01/2025,Tucumán,Vidrio,2849.38
REG-2041,17/05/2025,Bs As,Metales,1833.6
REG-1249,19/02/2025,Chaco,Plásticos,1661.51
REG-1706,26/03/2025,Buenos Aires,Papel y Cartón,2855.08
REG-1479,11/12/2024,Salta,Orgánico,1507.49
REG-1071,15/07/2025,Santa Fe,Plásticos,2118.09
REG-1094,20/12/2025,Santa Fe,Vidrio,270.16
REG-1033,14/07/2025,Buenos Aires,Vidrio,3274.74
REG-1777,09/01/2026,Misiones,Plásticos,691.35
REG-1259,01/09/2025,Tucumán,Plásticos,2115.93
REG-1204,10/12/2025,Chaco,Orgánico,3044.41
REG-1447,09/11/2024,Salta,Plásticos,1215.35
REG-1677,12/07/2024,Santa Fe,Papel y Cartón,531.18
REG-1591,03/10/2024,Tucumán,Orgánico,4102.13
REG-1077,10/02/2026,Salta,Vidrio,1737.15
REG-1084,20/07/2024,Chaco,Papel y Cartón,4959.56
REG-1526,10/09/2024,Misiones,Plásticos,1838.25
REG-1082,09/07/2025,Mendoza,Papel y Cartón,803.71
REG-1482,26/04/2024,Misiones,Plásticos,4177.74
REG-1541,20/11/2024,Córdoba,Peligrosos,4118.56
REG-1900,09/03/2024,Córdoba,Orgánico,572.22
REG-1896,04/02/2025,Córdoba ,Metales,418.61
REG-1465,15/12/2024,Mendoza,Plásticos,2536.31
REG-1557,02/03/2025,Córdoba,Plásticos,3329.71
REG-1350,31/10/2025,buenos aires,Orgánico,4402.22
REG-1700,15/06/2024,Chaco,Papel y Cartón,3022.25
REG-1005,01/12/2025,Misiones,Papel y Cartón,2048.48
REG-1310,07/02/2025,Santa Fe,Orgánico,3091.76
REG-1692,27/10/2024,Santa Fe,Orgánico,1786.38
REG-1104,10/02/2024,Santa Fe,Vidrio,478.33
REG-1097,22/02/2024,Mendoza,Orgánico,128.46
REG-1682,04/12/2024,Mendoza,Plásticos,3212.39
REG-1617,29/12/2025,Chaco,Vidrio,5352.55
REG-1314,03/11/2025,Salta,Plásticos,290.94
REG-2004,08/06/2025,Chaco,Papel y Cartón,994.38
REG-1501,22/03/2025,Salta,Plásticos,8667.77
REG-2013,20/04/2024,Chaco,Orgánico,2919.55
REG-1281,01/10/2025,Misiones,Peligrosos,799.86
REG-1665,14/03/2024,Tucumán,Plásticos,746.55
REG-1266,03/05/2024,Santa Fe,Vidrio,1349.52
REG-1549,08/06/2024,Buenos Aires,Orgánico,1165.19
REG-1238,05/01/2026,Santa Fe,Plásticos,657.58
REG-2007,02/08/2025,Santa Fe,Orgánico,6511.42
REG-1145,05/01/2024,Chaco,Orgánico,1306.88
REG-2022,17/08/2025,Mendoza,Plásticos,2957.18
REG-1423,11/02/2025,Santa Fe,Papel y Cartón,4501.11
REG-1816,25/05/2025,Misiones,Plásticos,1124.65
REG-1118,05/11/2025,Santa Fe,Plásticos,1718.68
REG-1507,17/10/2025,Misiones,Metales,1492.39
REG-1934,17/06/2025,Santa Fe,Plásticos,304.95
REG-1250,03/09/2024,Santa Fe,Orgánico,4401.13
REG-1594,28/01/2025,Córdoba,Papel y Cartón,5045.28
REG-1285,17/02/2026,Córdoba,Plásticos,1217.24
REG-1828,14/12/2025,Misiones,Orgánico,2156.51
REG-1009,11/04/2025,Santa Fe,Metales,735.22
REG-1445,04/05/2024,Salta,Orgánico,5048.49
REG-1196,19/01/2025,Salta,Plásticos,2813.66
REG-1714,20/04/2025,Tucumán,Plásticos,666.77
REG-1370,18/02/2024,Tucumán,Plásticos,889.26
REG-1081,30/12/2025,Santa Fe,Plásticos,1365.28
REG-1389,08/04/2024,Tucumán,Plásticos,4950.77
REG-1959,13/09/2024,Buenos Aires,Plásticos,4290.9
REG-1578,24/08/2025,Mendoza,Orgánico,2826.0
REG-1731,02/11/2025,Tucumán,Metales,3057.56
REG-1239,12/08/2024,Chaco,Vidrio,1580.55
REG-1833,18/03/2024,Buenos Aires,Peligrosos,1032.74
REG-1211,21/08/2024,Santa Fe,Papel y Cartón,2742.01
REG-1842,02/05/2025,Salta,Vidrio,5364.61
REG-1497,24/08/2024,Córdoba,Orgánico,1180.58
REG-1442,28/11/2025,MENDOZA,Orgánico,6109.95
REG-1227,21/01/2025,Córdoba,Plásticos,898.25
REG-2001,05/05/2024,Chaco,Vidrio,768.42
REG-1746,20/08/2024,Mendoza,Peligrosos,2892.5
REG-1614,29/09/2024,Mendoza,Plásticos,6638.87
REG-1931,10/04/2025,Mendoza,Plásticos,2727.79
REG-1177,31/07/2025,Buenos Aires,Metales,3549.2
REG-1714,20/04/2025,Tucumán,Plásticos,666.77
REG-1527,03/01/2026,Misiones,Vidrio,3982.2
REG-1973,03/08/2024,Misiones,Vidrio,3460.57
REG-1937,06/10/2025,Buenos Aires,Plásticos,238.77
REG-1845,13/12/2024,Tucumán,Orgánico,566.68
REG-1978,29/11/2025,Tucumán,Orgánico,1524.49
REG-1782,24/12/2025,Salta,Plásticos,868.2
REG-1007,06/09/2025,Salta,Orgánico,1416.19
REG-1425,20/05/2025,Tucumán,Papel y Cartón,4221.59
REG-1155,05/04/2025,Córdoba,Plásticos,2181.64
REG-1893,07/03/2026,Córdoba,Papel y Cartón,1211.02
REG-1357,09/10/2024,mendoza,Orgánico,1040.69
REG-1631,18/12/2025,Tucumán,Papel y Cartón,1554.56
REG-1223,17/07/2025,Tucumán,Vidrio,1553.99
REG-1329,06/12/2025,Salta,Orgánico,2547.71
REG-1582,14/07/2024,Córdoba,Plásticos,2114.79
REG-1531,05/06/2025,Buenos Aires,Vidrio,1487.53
REG-1912,24/10/2025,Chaco,Vidrio,1120.16
REG-1442,28/11/2025,MENDOZA,Orgánico,6109.95
REG-1667,09/09/2024,MENDOZA,Plásticos,1521.79
REG-1730,15/11/2025,Misiones,Orgánico,273.87
REG-1464,12/02/2026,Chaco,Plásticos,2191.06
REG-1701,31/03/2024,Buenos Aires,Plásticos,1527.65
REG-1774,23/06/2025,Tucumán,Vidrio,1070.23
REG-1107,05/03/2024,Salta,Orgánico,1331.04
REG-1668,17/08/2024,Tucumán,Peligrosos,4450.34
REG-1740,14/08/2024,Chaco,Plásticos,2198.44
REG-1661,19/10/2025,Buenos Aires,Vidrio,3654.25
REG-2043,30/05/2025,Santa Fe,Orgánico,4494.19
REG-1650,23/11/2025,Chaco,Plásticos,1677.29
REG-1830,23/03/2024,Santa Fe,Vidrio,4871.45
REG-1784,01/01/2026,Mendoza,Metales,4961.8
REG-1163,29/04/2025,Salta,Orgánico,2945.37
REG-1228,22/04/2024,Misiones,Orgánico,1683.07
REG-1490,20/01/2026,Salta,Plásticos,4956.28
REG-2046,15/12/2024,Chaco,Orgánico,2203.42
REG-1212,14/11/2025,Santa Fe,Orgánico,2749.34
REG-1898,23/02/2026,MENDOZA,Plásticos,810.77
REG-1079,03/12/2025,Salta,Vidrio,1663.18
REG-1148,05/02/2026,Chaco,Papel y Cartón,2411.39
REG-1302,06/02/2024,Córdoba,Orgánico,1357.69
REG-1534,28/06/2024,Chaco,Plásticos,2000.29
REG-1449,07/12/2024,Chaco,Vidrio,1301.01
REG-1595,01/04/2025,Salta,Plásticos,1464.74
REG-1694,10/03/2024,Misiones,Papel y Cartón,1233.93
REG-1043,16/07/2025,Chaco,Plásticos,2226.77
REG-1895,02/07/2024,Salta,Plásticos,904.58
REG-1133,10/02/2025,Misiones,Plásticos,1145.94
REG-1933,12/11/2025,Chaco,Plásticos,3651.72
REG-1504,03/09/2024,Córdoba,Plásticos,1997.31
REG-1588,10/01/2025,Santa Fe,Plásticos,540.96
REG-1311,31/05/2024,Buenos Aires,Plásticos,4273.48
REG-1408,24/10/2025,Buenos Aires,Plásticos,2900.41
REG-1558,04/09/2025,Córdoba,Metales,1246.21
REG-1717,01/01/2024,Buenos Aires,Plásticos,280.62
REG-1560,30/07/2025,Buenos Aires,Orgánico,707.09
REG-1923,02/04/2024,Buenos Aires,Vidrio,343.01
REG-1962,09/09/2024,Córdoba,Plásticos,3854.88
REG-1883,05/09/2024,Mendoza,Papel y Cartón,3063.25
